ID;Sand %;Clay %;Silt %;pH;EC mS/cm;O.M. %;CACO3 %;N_NO3 ppm;P ppm;K ppm;Mg ppm;Fe ppm;Zn ppm;Mn ppm;Cu ppm;B ppm;Adequação MILHO
1344;0,47524;0,36479;0,33242;0,43134;0,10616;0,50799;0,04428;0,06364;0,14175;0,33375;0,00448;0,00647;0,14303;0,07442;0,02351;0,20355;1,0
480;0,23129;0,53723;0,40429;0,83827;0,07133;0,32755;0,3518;0,12751;0,04242;0,18972;0,06972;0,01626;0,03147;0,02446;0,02344;0,14444;0,5
943;0,54629;0,17724;0,45613;0,16389;0,06632;0,10643;0,18186;0,01185;0,06969;0,02104;0,18706;0,44666;0,00187;0,01123;0,00781;0,28558;0,0
1253;0,44425;0,44159;0,28373;0,40371;0,12809;0,55093;0,02935;0,17608;0,08099;0,24975;0,01682;0,00689;0,18657;0,0189;0,02468;0,36835;1,0
306;0,13687;0,59933;0,43699;0,87062;0,06457;0,34707;0,30284;0,02301;0,1295;0,18605;0,10867;0,00638;0,00858;0,0023;0,04688;0,15556;0,5
515;0,1054;0,75458;0,30617;0,46092;0,06778;0,6833;0,02577;0,22148;0,25015;0,16463;0,53853;0,41165;0,1073;0,15613;0,03828;0,30556;0,5
1273;0,62045;0,35109;0,19596;0,42194;0,04946;0,62872;0,01419;0,21482;0,10739;0,32643;0,00153;0,40493;0,17561;0,05822;0,04769;0,14596;1,0
1299;0,64035;0,36217;0,16361;0,24185;0,10049;0,22508;0,03454;0,19805;0,15151;0,05157;0,00863;0,0127;0,14717;0,08977;0,04472;0,30907;1,0
530;0,19982;0,78563;0,17536;0,4717;0,14232;0,32104;0,01675;0,07015;0,07123;0,18788;0,40599;0,30664;0,07153;0,15597;0,04837;0,27778;0,5
621;0,26276;0,66143;0,24077;0,28571;0,04323;0,38178;0,02577;0,02192;0,14985;0,24908;0,20101;0,25994;0,03863;0,16908;0,05193;0,23333;0,5
1747;0,62431;0,15849;0,3948;0,41831;0,10161;0,12683;0,16915;0,19602;0,15066;0,32514;0,01882;0,00901;0,15291;0,0553;0,02231;0,32221;1,0
367;0,60896;0,35093;0,20806;0,531;0,13396;0,38612;0,01675;0,15972;0,18652;0,11138;0,32014;0,29731;0,06581;0,18487;0,08042;0,18889;0,5
1507;0,52562;0,54578;0,08944;0,36676;0,53054;0,38932;0,01445;0,17554;0,153;0,30117;0,00552;0,01418;0,16278;0,09066;0,01208;0,39059;1,0
1625;0,53886;0,37016;0,26066;0,32419;0,11173;0,15815;0,02458;0,20739;0,0865;0,25292;0,01586;0,0104;0,02282;0,01721;0,02508;0,41136;1,0
765;0,19982;0,59933;0,37158;0,60108;0,10247;0,49458;0,0;0,04093;0,39412;0,38188;0,32977;0,19901;0,78412;0,08109;0,22347;0,21111;0,5
395;0,60896;0,19569;0,37158;0,74124;0,07276;0,20824;0,03222;0,07089;0,14661;0,08568;0,04271;0,04762;0,03004;0,07028;0,02166;0,2;0,5
1788;0,59193;0,25535;0,32644;0,52816;0,12513;0,38337;0,04309;0,18782;0,11069;0,33221;0,01103;0,01754;0,17995;0,04533;0,01727;0,2987;1,0
465;0,51454;0,41303;0,24077;0,83558;0,07116;0,2039;0,22938;0,07488;0,0629;0,13035;0,07789;0,0605;0,04864;0,04057;0,02967;0,2;0,5
1055;0,47429;0,46152;0,23152;0,43386;0,23216;0,09531;0,51487;0,08037;0,02731;0,02432;0,21131;0,05649;0,1216;8e-05;0,00108;0,08375;0,0
947;0,4659;0,39199;0,31348;0,7085;0,59229;0,27451;0,62784;0,04219;0,14564;0,05408;0,39369;0,32985;0,04113;0,00426;0,08392;0,37093;0,0
1637;0,58875;0,31588;0,26599;0,47011;0,04304;0,38241;0,04272;0,20673;0,01042;0,03684;0,0018;0,01601;0,16787;0,0691;0,01777;0,03439;1,0
1857;0,36247;0,55105;0,25341;0,31989;0,05251;0,49033;0,58958;0,1832;0,06864;0,27311;0,01623;0,01646;0,1649;0,03815;0,07557;0,28188;1,0
1107;0,79187;0,23504;0,14006;0,77862;0,05322;0,64417;0,07549;0,12367;0,05344;0,02755;0,16425;0,37634;0,12474;0,11061;0,00472;0,12143;0,0
1206;0,41678;0,32521;0,43486;0,82438;0,65806;0,33793;0,41897;0,14181;0,01621;0,02868;0,05289;0,35469;0,16132;0,14483;0,06936;0,19208;0,0
807;0,46594;0,33414;0,37436;0,26945;0,81897;0,02546;0,60663;0,01305;0,02045;0,04559;0,34414;0,0169;0,06929;0,00774;0,07709;0,01546;0,0
112;0,07393;0,59933;0,5024;0,79245;0,0982;0,63124;0,43814;0,05222;0,22028;0,21726;0,1093;0,13758;0,05293;0,04603;0,04718;0,26667;0,5
583;0,48307;0,38198;0,30617;0,84906;0,06813;0,14967;0,14175;0,14212;0,07896;0,09364;0,2054;0,03606;0,00715;0,01788;0,02344;0,10556;0,5
1034;0,48173;0,20708;0,49179;0,54902;0,02156;0,01569;0,51764;0,16421;0,03022;0,01612;0,00652;0,37271;0,14439;0,15797;0,07701;0,08885;0,0
1833;0,4204;0,44052;0,30965;0,34873;0,04585;0,17554;0,44243;0,21745;0,10446;0,1705;0,00984;0,09105;0,17545;0,05636;0,01938;0,25401;1,0
299;0,32571;0,41303;0,43699;0,51752;0,04429;0,26464;0,0;0,06394;0,06885;0,06732;0,13819;0,12193;0,06273;0,03433;0,04185;0,21111;0,5
880;0,1736;0,63254;0,36385;0,14999;0,00062;0,33337;0,02335;0,11653;0,02454;0,00035;0,23213;0,33279;0,09236;0,00096;0,08232;0,09413;0,0
1436;0,3713;0,37476;0,42992;0,38037;0,03216;0,50881;0,01982;0,18295;0,17779;0,13245;0,01018;0,01211;0,13385;0,0403;0,05003;0,35917;1,0
1205;0,22352;0,37398;0,58431;0,93855;0,00141;0,2782;0,02012;0,00608;0,02948;0,0179;0,3329;0,33684;0,01134;0,00153;0,04789;0,0899;0,0
888;0,3043;0,0991;0,78989;0,59279;0,02314;0,3351;0,1952;0,22893;0,05723;0,02794;0,39148;0,4224;0,0158;0,0076;0,06884;0,38405;0,0
1271;0,55924;0,2615;0,35392;0,46552;0,04424;0,66277;0,37758;0,22026;0,1207;0,2572;0,00971;0,01464;0,17423;0,0835;0,0499;0,26691;1,0
1170;0,43749;0,29382;0,4464;0,83355;0,00917;0,05785;0,21899;0,2156;0,06097;0,01507;0,10059;0,0592;0,08226;0,11049;0,05941;0,06479;0,0
298;0,23129;0,44408;0,5024;0,67385;0,0966;0,19523;0,05155;0,08916;0,18315;0,15973;0,13568;0,06683;0,14529;0,02982;0,08668;0,17222;0,5
1710;0,68971;0,06371;0,42668;0,34859;0,01855;0,48973;0,01677;0,17626;0,19552;0,0673;0,01071;0,34494;0,01703;0,07152;0,03229;0,31986;1,0
1086;0,40901;0,04728;0,73567;0,14395;0,00581;0,1438;0,19257;0,03946;0,02786;0,23866;0,16086;0,32374;0,09715;0,06665;0,07923;0,04655;0,0
545;0,16834;0,25779;0,76404;0,82749;0,0756;0,45553;0,14562;0,09132;0,13082;0,16646;0,01612;0,05853;0,03147;0,04084;0,03175;0,22222;0,5
1450;0,4392;0,22264;0,5196;0,35164;0,08641;0,12757;0,00241;0,22536;0,15141;0,12153;0,00658;0,01293;0,1546;0,01556;0,0107;0,37472;1,0
1618;0,6226;0,29879;0,24881;0,34681;0,02599;0,39;0,05368;0,04674;0,09107;0,03215;0,0046;0,00147;0,16751;0,03594;0,04947;0,24801;1,0
1174;0,4646;0,6505;0,04255;0,95648;0,02275;0,20375;0,60769;0,09033;0,03547;0,02903;0,1759;0,24997;0,08722;0,00628;0,07255;0,08924;0,0
66;0,32571;0,31989;0,5351;0,46361;0,07098;0,31236;0,0;0,02632;0,02431;0,05386;0,09255;0,35934;0,11016;0,19296;0,05163;0,11667;0,5
1329;0,42772;0,34438;0,4033;0,13672;0,03763;0,50848;0,00738;0,11712;0,1844;0,21158;0,40149;0,0106;0,16021;0,05461;0,0378;0,0622;1,0
463;0,19982;0,87878;0,07724;0,84367;0,08254;0,35141;0,18428;0,02698;0,05497;0,17748;0,25105;0,09776;0,0372;0,04641;0,04837;0,08889;0,0
1317;0,3918;0,56307;0,21028;0,79995;0,06085;0,60288;0,61618;0,19482;0,19389;0,26669;0,00598;0,05908;0,16553;0,08965;0,01965;0,27695;1,0
1568;0,6311;0,30882;0,22941;0,49576;0,05437;0,35598;0,05779;0,17335;0,17553;0,02782;0,00878;0,01954;0,15032;0,02899;0,04897;0,24924;1,0
240;0,19982;0,63038;0,33888;0,88679;0,0909;0,40998;0,34794;0,08588;0,16974;0,23807;0,11369;0,0521;0,03577;0,03907;0,03561;0,37778;0,5
189;0,48307;0,44408;0,24077;0,71159;0,03985;0,27983;0,07732;0,03433;0,04275;0,08201;0,54209;0,15875;0,06724;0,01932;0,00712;0,04444;0,5
1248;0,63104;0,30618;0,23225;0,4356;0,04644;0,66292;0,0556;0,17838;0,14661;0,22224;0,00991;0,00995;0,04687;0,03814;0,04503;0,3589;1,0
30;0,26276;0,35093;0,56781;0,83827;0,10745;0,37527;0,44459;0,00249;0,0146;0,20991;0,15389;0,07665;0,05722;0,02548;0,02938;0,22778;0,5
1334;0,45738;0,30329;0,41575;0,349;0,0651;0,59346;0,04122;0,20167;0,05175;0,34886;0,09828;0,36159;0,18467;0,0643;0,05285;0,41284;1,0
1287;0,37583;0,34668;0,4548;0,40739;0,06481;0,20785;0,05684;0,13891;0,11939;0,16033;0,00998;0,01401;0,13606;0,06712;0,0312;0,27597;1,0
760;0,26276;0,59933;0,30617;0,80054;0,06635;0,36443;0,03866;0,06434;0,10611;0,2246;0,20477;0,13534;0,04149;0,0355;0,03656;0,03889;0,5
1160;0,24319;0,11117;0,84069;0,95602;0,67567;0,03007;0,39023;0,12086;0,01691;0,00227;0,30954;0,07347;0,07844;0,00476;0,09949;0,0254;0,0
1543;0,36946;0,34962;0,45832;0,51583;0,09474;0,65606;0,05902;0,22709;0,09457;0,36305;0,00637;0,01355;0,01004;0,0473;0,05208;0,28794;1,0
399;0,51454;0,31989;0,33888;0,52291;0,14766;0,2039;0,01675;0,02955;0,07413;0,08568;0,10595;0,24614;0,04149;0,11283;0,02878;0,21111;0,5
837;0,57337;0,1424;0,46468;0,80557;0,37883;0,12289;0,66792;0,04788;0,00322;0,03998;0,01152;0,16873;0,07323;0,00749;0,06252;0,12553;0,0
110;0,01098;0,50618;0,66592;0,91644;0,07347;0,55531;0,51289;0,14146;0,07334;0,40208;0,06365;0,01451;0,0701;0,0136;0,14451;0,22222;0,5
638;0,73485;0,07149;0,37158;0,24528;0,05603;0,13883;0,00644;0,14727;0,01962;0,01285;0,06763;0,16966;0,06152;0,10635;0,01751;0,17778;0,0
1642;0,53641;0,44742;0,18183;0,53611;0,06907;0,39491;0,00611;0,18344;0,19297;0,25586;0,01009;0,00588;0,17505;0,01743;0,03649;0,28135;1,0
1161;0,43537;0,41002;0,32622;0,14607;0,33866;0,17611;0,28269;0,16415;0,00126;0,01265;0,11342;0,219;0,17843;0,15572;0,00611;0,12569;0,0
933;0,42597;0,49242;0,24919;0,74865;0,02888;0,23531;0,06172;0,06034;0,04913;0,0415;0,32834;0,143;0,07751;0,10832;0,07142;0,12943;0,0
706;0,26276;0,53723;0,37158;0,81671;0,09589;0,28633;0,11985;0,03138;0,01962;0,21359;0,1719;0,0377;0,0186;0,02575;0,02552;0,12222;0,0
618;0,29423;0,59933;0,27347;0,51482;0,07009;0,3449;0,01675;0,05006;0,08887;0,18849;0,28894;0,17364;0,04292;0,12396;0,04421;0,05;0,5
800;0,76761;0,27254;0,12577;0,15147;0,01356;0,08605;0,18727;0,02263;0,00766;0,04275;0,2715;0,04708;0,01246;0,07922;0,05034;0,00118;0,0
1062;0,926;0,12007;0,12178;0,25241;0,04202;0,06869;0,02999;0,155;0,11005;0,01509;0,28444;0,0029;0,10449;0,01752;0,00859;0,11475;0,0
433;0,26276;0,66143;0,24077;0,52022;0,1183;0,32104;0,03608;0,01461;0,04176;0,18176;0,49791;0,29824;0,08727;0,1116;0,06231;0,11667;0,0
1354;0,57505;0,28478;0,31298;0,38208;0,04548;0,61192;0,03269;0,22598;0,19135;0,16548;0,01482;0,00178;0,13981;0,03161;0,01375;0,26029;1,0
1369;0,55844;0,31059;0,30306;0,33513;0,03685;0,39967;0,01581;0,20477;0,11996;0,31285;0,01695;0,01234;0,1797;0,08467;0,03534;0,09194;1,0
620;0,13687;0,78563;0,24077;0,83019;0,11172;0,50759;0,15464;0,26606;0,04625;0,19461;0,29564;0,05264;0,08155;0,02917;0,03116;0,03333;0,5
707;0,4516;0,44408;0,27347;0,85175;0,12435;0,60521;0,16753;0,19475;0,52038;0,90453;0,31512;0,00884;0,41059;0,00733;0,04065;0,38889;1,0
426;0,19982;0,44408;0,5351;0,86792;0,07187;0,22126;0,41624;0,11879;0,01414;0,06671;0,04125;0,03044;0,00429;0,01809;0,01721;0,06111;0,0
1795;0,4408;0,35407;0,3795;0,32089;0,06257;0,41242;0,0381;0,19763;0,0751;0,31255;0,00218;0,0044;0,13115;0,0489;0,01533;0,28343;1,0
592;0,29423;0,63038;0,24077;0,3531;0,04483;0,42082;0,03608;0,09173;0,08219;0,11322;0,509;0,19917;0,07439;0,13451;0,11484;0,20556;0,5
496;0,4516;0,41303;0,30617;0,85445;0,06884;0,37744;0,25129;0,07563;0,01625;0,08201;0,17064;0,10207;0,0515;0,07788;0,02344;0,03333;0,5
1289;0,54461;0,45044;0,17012;0,40845;0,11019;0,57165;0,04582;0,1726;0,00578;0,30656;0,01543;0,20221;0,181;0,05059;0,01916;0,26593;1,0
1735;0,69676;0,34672;0,12126;0,28978;0,04711;0,51262;0,5881;0,17121;0,15053;0,32452;0,00126;0,00912;0,14545;0,04005;0,04813;0,39456;1,0
728;0,42012;0,50618;0,24077;0,14286;0,0434;0,37527;0,0;0,07455;0,08173;0,0967;0,37961;0,31242;0,09599;0,12728;0,05588;0,21667;0,5
197;0,48307;0,50618;0,17536;0,79515;0,04607;0,2885;0,09021;0,03836;0,0298;0,09302;0,57517;0,11205;0,0186;0,02195;0,01098;0,18333;0,5
345;0,38865;0,44408;0,33888;0,89218;0,0724;0,60954;0,40979;0,22294;0,06581;0,19706;0,06533;0,03393;0,07439;0,03431;0,05816;0,27222;0,5
136;0,38865;0,50618;0,27347;0,9434;0,07471;0,46638;0,36469;0,02407;0,09898;0,20379;0,04355;0,09378;0,18741;0,057;0,23739;0,2;0,5
219;0,42012;0,41303;0,33888;0,9407;0,06386;0,20174;0,42526;0,01496;0,01758;0,1071;0,12437;0,04741;0,03147;0,02136;0,01573;0,02222;0,5
271;0,29423;0,41303;0,4697;0,8841;0,20085;0,59653;0,37371;0,50696;0,43059;0,44737;0,08857;0,03251;0,06724;0,01354;0,0368;0,06111;0,5
434;0,32571;0,53723;0,30617;0,87601;0,0587;0,23427;0,26418;0,04566;0,02279;0,19829;0,04104;0,08025;0,02432;0,05845;0,02671;0,08889;0,5
1190;0,15895;0,35044;0,6762;0,59331;0,1029;0,34883;0,31163;0,09795;0,05934;0,01073;0,26192;0,13617;0,09956;0,00517;0,07721;0,06649;0,0
1748;0,61571;0,24463;0,31301;0,33377;0,12084;0,38862;0,0196;0,19287;0,05831;0,1976;0,00078;0,00368;0,11569;0,01406;0,04976;0,32622;1,0
1006;0,43969;0,49091;0,23652;0,49867;0,0117;0,16162;0,60651;0,03957;0,08354;0,00738;0,03492;0,37077;0,11032;0,01261;0,08273;0,20568;0,0
1386;0,59094;0,25042;0,33266;0,48716;0,10804;0,53714;0,0226;0,22236;0,11895;0,11916;0,00293;0,01656;0,16869;0,03165;0,02902;0,23157;1,0
527;0,16834;0,75458;0,24077;0,5876;0,06137;0,3731;0,02577;0,04715;0,03066;0,16707;0,16771;0,20201;0,05579;0,10352;0,04154;0,16667;0,5
238;0,23129;0,35093;0,60051;0,90566;0,12168;0,4295;0,28351;0,05886;0,12111;0,38739;0,05109;0,01227;0,18455;0,0;0,09407;0,28889;0,5
819;0,55555;0,14092;0,48477;0,37154;0,70157;0,13374;0,37869;0,1802;0,02212;0,0376;0,20732;0,33304;0,184;0,01633;0,00136;0,01834;0,0
944;0,61892;0,44699;0,09653;0,78186;0,00311;0,3101;0,324;0,08916;0,01507;0,0509;0,29149;0,13439;0,12477;0,09943;0,00372;0,10183;0,0
451;0,29423;0,47513;0,40429;0,89218;0,04661;0,0;0,33247;0,02333;0,00093;0,12974;0,15766;0,05586;0,0;0,01258;0,03116;0,12222;0,0
708;0,51454;0,35093;0,30617;0,83288;0,11136;0,67028;0,00387;0,23095;0,20529;0,41187;0,20038;0,05799;0,25851;0,02098;0,05145;0,32222;1,0
599;0,48307;0,35093;0,33888;0,81941;0,07294;0,24078;0,12629;0,04856;0,07116;0,17442;0,16164;0,05963;0,04292;0,02853;0,0368;0,11111;0,5
1457;0,72625;0,22457;0,21928;0,49295;0,03184;0,58853;0,01071;0,21526;0,08184;0,10497;0,01762;0,01758;0,13034;0,06148;0,0161;0,13471;1,0
1548;0,41691;0,37494;0,38234;0,27638;0,09047;0,6161;0,04721;0,182;0,08262;0,27922;0,018;0,00762;0,16624;0,09431;0,02601;0,38994;1,0
1246;0,45315;0,38795;0,33098;0,41635;0,01426;0,52684;0,06208;0,22966;0,14259;0,19604;0,01278;0,0066;0,16346;0,04328;0,01;0,34829;1,0
931;0,72076;0,10658;0,34925;0,18925;0,64619;0,33817;0,09489;0,09764;0,0691;0,04687;0,0695;0,08987;0,04397;0,12927;0,10105;0,10577;0,0
423;0,32571;0,41303;0,43699;0,86253;0,07009;0,4295;0,31959;0,06434;0,04764;0,14443;0,03643;0,03999;0,01001;0,04186;0,02285;0,08333;0,5
1235;0,05601;0,53493;0,58885;0,32871;0,54066;0,25936;0,21025;0,04211;0,05368;0,00095;0,11316;0,04621;0,09279;0,09851;0,02346;0,09659;0,0
1724;0,64007;0,25953;0,27201;0,49107;0,13037;0,03521;0,02636;0,22756;0,18057;0,0174;0,00261;0,18112;0,19028;0,02847;0,00899;0,28099;1,0
1191;0,44319;0,46428;0,26093;0,99724;0,02124;0,2195;0,13259;0,01393;0,03683;0,02387;0,15109;0,19898;0,15766;0,00988;0,09226;0,33791;0,0
255;0,19982;0,50618;0,4697;0,8221;0,13129;0,46421;0,41881;0,03763;0,04156;0,19278;0,07873;0,07905;0,11302;0,09356;0,03561;0,1;0,5
1088;0,86056;0,19901;0,10663;0,38739;0,00339;0,31336;0,0111;0,05571;0,03951;0,2835;0,39925;0,20927;0,0056;0,01129;0,00132;0,20407;0,0
1308;0,6344;0,37482;0,15647;0,42515;0,11624;0,39687;0,0609;0,06107;0,12325;0,00443;0,33791;0,00648;0,14356;0,01303;0,04849;0,22261;1,0
1572;0,58733;0,41237;0,16582;0,45888;0,09155;0,59851;0,01738;0,21881;0,0799;0,23033;0,16168;0,01326;0,15538;0,12224;0,0432;0,41249;1,0
308;0,16834;0,53723;0,4697;0,8841;0,06422;0,38178;0,2616;0,06064;0,02108;0,24602;0,13526;0,05201;0,04027;0,02261;0,07428;0,14444;0,0
71;0,23129;0,44408;0,5024;0,90027;0,08912;0,36009;0,22552;0,03619;0,01103;0,10526;0,05235;0,04604;0,14592;0,03484;0,08576;0,00556;0,5
1696;0,55351;0,30212;0,31709;0,30482;0,03061;0,5949;0,00057;0,16555;0,14258;0,15816;0,00533;0,01562;0,19141;0,06707;0,04234;0,32306;1,0
325;0,19982;0,53723;0,43699;0,88679;0,06635;0,27766;0,24613;0,05845;0,05973;0,13831;0,08815;0,05412;0,02718;0,02607;0,06706;0,08889;0,0
1223;0,44038;0,5325;0,19199;0,22827;0,01264;0,26708;0,23866;0,1467;0,02945;0,00583;0,20156;0,39214;0,04047;0,09661;0,10083;0,1272;0,0
1742;0,60878;0,42447;0,13079;0,50178;0,06228;0,15132;0,02456;0,18082;0,01756;0,17645;0,01056;0,01696;0,18619;0,0044;0,02774;0,29463;1,0
612;0,4516;0,53723;0,17536;0,20755;0,04145;0,46204;0,00387;0,1129;0,1264;0,14076;0,3325;0,54405;0,11588;0,28422;0,07626;0,31111;0,5
571;0,42012;0,50618;0,24077;0,85445;0,06102;0,31236;0,16108;0,04898;0,044;0,15361;0,1585;0,0335;0,02432;0,04196;0,03234;0,12778;0,5
1037;0,67134;0,4187;0,07186;0,28217;0,0135;0,06325;0,00379;0,21277;0,05861;0,0532;0,22337;0,02869;0,11973;0,17354;0,07224;0,09327;0,0
562;0,29423;0,28884;0,60051;0,90296;0,07916;0,23427;0,54124;0,11697;0,07479;0,0508;0,06868;0,05543;0,03004;0,01129;0,01573;0,21111;0,0
1320;0,32666;0,32166;0,53224;0,3182;0,12821;0,01849;0,01725;0,22177;0,19848;0,26007;0,28797;0,00537;0,13662;0,05849;0,00611;0,29419;1,0
1345;0,44269;0,45663;0,26951;0,36186;0,00762;0,48485;0,00282;0,21875;0,09217;0,11125;0,00571;0,0039;0,1054;0,02637;0,00252;0,28652;1,0
1705;0,62355;0,27534;0,27251;0,31036;0,12871;0,16856;0,04801;0,20823;0,05408;0,09333;0,0092;0,01631;0,1665;0,0702;0,00324;0,3484;1,0
632;0,60896;0,28884;0,27347;0,42049;0,03664;0,30803;0,02577;0,00656;0,06726;0,07405;0,09987;0,12689;0,05579;0,14023;0,03769;0,1;0,5
213;0,1054;0,63038;0,43699;0,96765;0,07116;0,45119;0,25129;0,06942;0,11556;0,18115;0,07894;0,0779;0,0372;0,01804;0,05252;0,06667;0,5
24;0,26276;0,50618;0,40429;0,95418;0,07116;0,2538;0,18428;0,02665;0,0041;0,13709;0,10469;0,07801;0,01288;0,04271;0,03323;0,02222;0,0
290;0,54601;0,10254;0,5351;0,71968;0,07027;0,13666;0,00387;0,0548;0,29462;0,16463;0,08961;0,09673;0,82759;0,01566;0,07558;0,06667;0,5
64;0,60896;0,19569;0,37158;0,37736;0,02899;0,25597;0,0;0,0259;0,0477;0,02999;0,0402;0,44531;0,103;0,17685;0,03739;0,62222;0,5
870;0,49482;0,30586;0,37415;0,13889;0,30607;0,25431;0,4323;0,0007;0,02694;0,00888;0,24447;0,05338;0,07607;0,10286;0,09843;0,06604;0,0
535;0,16834;0,59933;0,40429;0,74124;0,06493;0,51844;0,1482;0,01602;0,03502;0,17381;0,13756;0,08527;0,05007;0,06145;0,02641;0,07222;0,5
1672;0,46956;0,38897;0,31286;0,48739;0,06219;0,63458;0,01085;0,21683;0,18754;0,35869;0,00685;0,00136;0,17611;0,06029;0,06273;0,14285;1,0
1143;0,29265;0,4936;0,38648;0,16751;0,68434;0,22036;0,20798;0,17939;0,04207;0,02676;0,13087;0,03227;0,12071;0,09374;0,02343;0,15928;0,0
1570;0,43391;0,458;0,27719;0,53681;0,03884;0,52791;0,0631;0,19415;0,17362;0,15803;0,00366;0,00378;0,15736;0,07002;0,02926;0,38194;1,0
1090;0,55885;0,11889;0,50454;0,14817;0,62617;0,12991;0,38933;0,07174;0,02273;0,02374;0,38026;0,29123;0,09485;0,16713;0,00763;0,03652;0,0
1351;0,63707;0,36839;0,16046;0,44849;0,0106;0,37316;0,01753;0,1683;0,13898;0,20519;0,0034;0,00132;0,15371;0,04418;0,00122;0,22322;1,0
917;0,63499;0,36622;0,16492;0,13388;0,45529;0,32852;0,27246;0,15581;0,02026;0,02797;0,03113;0,01078;0,10513;0,10003;0,04503;0,0025;0,0
472;0,1054;0,81668;0,24077;0,61456;0,07489;0,47722;0,04124;0,0968;0,03911;0,20318;0,24812;0,22225;0,04578;0,11979;0,04985;0,08889;0,5
1178;0,59974;0,16705;0,41132;0,22607;0,00773;0,2203;0,29312;0,1463;0,04981;0,02407;0,30052;0,38169;0,05943;0,01163;0,08271;0,19813;0,0
1820;0,36403;0,56994;0,2319;0,30213;0,04561;0,4886;0,05592;0,19194;0,00045;0,11855;0,01754;0,0059;0,14019;0,02668;0,04387;0,21445;1,0
1387;0,51189;0,20696;0,46057;0,36478;0,00368;0,58235;0,04089;0,19635;0,1923;0,00166;0,01603;0,01592;0,15423;0,08708;0,01619;0,35468;1,0
1626;0,55863;0,38083;0,22888;0,44445;0,11821;0,44897;0,0437;0,19112;0,15574;0,19023;0,01332;0,00803;0,16963;0,07769;0,03071;0,41344;1,0
1360;0,46017;0,37637;0,33588;0,47991;0,18041;0,43854;0,0254;0,2269;0,11648;0,27093;0,00316;0,00146;0,01295;0,04942;0,01882;0,39703;1,0
536;0,42012;0,44408;0,30617;0,15903;0,03985;0,38395;0,01675;0,04782;0,15666;0,07956;0,08857;0,45;0,0515;0,21057;0,04065;0,20556;0,5
1074;0,59833;0,5282;0,03239;0,66062;0,62493;0,01482;0,5436;0,1949;0,05513;0,06405;0,30411;0,28257;0,03905;0,044;0,06222;0,12463;0,0
