ID;Sand %;Clay %;Silt %;pH;EC mS/cm;O.M. %;CACO3 %;N_NO3 ppm;P ppm;K ppm;Mg ppm;Fe ppm;Zn ppm;Mn ppm;Cu ppm;B ppm;Adequação MILHO
465;0,53333;0,44828;0,22222;0,83558;0,04848;0,2039;0,22938;0,07488;0,0629;0,13035;0,07789;0,0605;0,04864;0,04057;0,02967;0,2;0,5
87;0,56667;0,31034;0,33333;0,93801;0,03226;0,19089;0,10309;0,00398;0,05517;0,03856;0,15096;0,06001;0,09585;0,03484;0,02136;0,12222;0,5
138;0,16667;0,62069;0,44444;0,93261;0,06962;0,36659;0,16108;0,04715;0,0413;0,26805;0,06784;0,11772;0,06581;0,0455;0,04777;0,18333;0,5
610;0,4;0,37931;0,44444;0,74663;0,0483;0,40564;0,41237;0,087;0,05107;0,14504;0,07852;0,05368;0,04864;0,02339;0,04273;0,10556;0,5
702;0,3;0,72414;0,18519;0,66307;0,07673;0,37961;0,05799;0,08401;0,06198;0,1481;0,41562;0,07277;0,04864;0,04046;0,04214;0,06111;0,5
297;0,23333;0,51724;0,48148;0,52022;0,07418;0,33623;0,0;0,0855;0,16974;0,13525;0,20645;0,1503;0,2138;0,05195;0,18459;0,15556;0,5
731;0,26667;0,62069;0,33333;0,84906;0,03517;0,49024;0,34794;0,07231;0,05055;0,24908;0,17525;0,05084;0,05179;0,02486;0,03585;0,02778;0,5
513;0,33333;0,62069;0,25926;0,58491;0,05905;0,7961;0,01675;0,10269;0,12778;0,10526;0,5201;0,31269;0,21745;0,15581;0,03027;0,47778;0,5
333;0,43333;0,51724;0,25926;0,85984;0,03937;0,37527;0,03866;0,05699;0,09118;0,13953;0,08396;0,0743;0,03863;0,06359;0,09169;0,21111;0,5
553;0,7;0,13793;0,37037;0,87062;0,04738;0,44252;0,22294;0,04093;0,13862;0,04651;0,0224;0,03322;0,03147;0,02211;0,00861;0,03889;0,5
341;0,43333;0,44828;0,33333;0,8221;0,03572;0,27115;0,04897;0,19516;0,07968;0,04039;0,21587;0,09241;0,02432;0,06187;0,01899;0,06667;0,5
778;0,5;0,37931;0,33333;0,88949;0,03809;0,21909;0,3866;0,04167;0,02028;0,15606;0,01968;0,04451;0,02017;0,02113;0,01166;0,01111;0,5
119;0,3;0,44828;0,48148;0,77628;0,05759;0,47939;0,0;0,13374;0,21698;0,21114;0,03413;0,11936;0,40486;0,14195;0,09644;0,15;0,5
650;0,16667;0,65517;0,40741;0,81402;0,03864;0,34924;0,20361;0,10667;0,01903;0,05324;0,12626;0,09858;0,0372;0,03265;0,04125;0,1;0,0
216;0,5;0,44828;0,25926;0,9407;0,05887;0,27766;0,15206;0,12097;0,21169;0,10894;0,06072;0,05521;0,15308;0,01049;0,02374;0,15;0,5
777;0,26667;0,68966;0,25926;0,60108;0,05832;0,37093;0,0;0,0621;0,1295;0,22277;0,09213;0,18242;0,04206;0,12899;0,03733;0,12778;0,5
351;0,13333;0,65517;0,44444;0,95687;0,03226;0,36226;0,08119;0,14252;0,03634;0,16463;0,11579;0,09072;0,02003;0,07194;0,03383;0,09444;0,5
406;0,4;0,55172;0,25926;0,85445;0,03208;0,30369;0,54124;0,05994;0,03006;0,12913;0,10804;0,03999;0,04006;0,02248;0,01098;0,15556;0,5
78;0,46667;0,48276;0,25926;0,49865;0,0585;0,29501;0,0;0,04491;0,04764;0,07283;0,22299;0,33081;0,11445;0,0645;0,04748;0,25;0,5
689;0,73333;0,2069;0,25926;0,13747;0,03918;0,30369;0,01289;0,11514;0,02101;0,07405;0,06198;0,38721;0,08011;0,28282;0,04303;0,21667;0,0
471;0,23333;0,75862;0,22222;0,85445;0,03791;0,4859;0,28995;0,08293;0,02154;0,15483;0,15054;0,06961;0,02861;0,05984;0,03116;0,27222;0,5
680;0,46667;0,31034;0,44444;0,21294;0,00182;0,41649;0,01933;0,09248;0,26343;0,14443;0,10071;1,0;0,13734;0,10234;0,10623;0,27778;0,5
50;0,1;0,7931;0,33333;0,88949;0,05376;0,53796;0,21005;0,06392;0,03449;0,18421;0,0982;0,11991;0,1073;0,03881;0,05371;0,17222;0,0
654;0,33333;0,58621;0,2963;0,12399;0,08821;0,47505;0,01289;0,34501;0,09851;0,13586;0,14175;0,36108;0,06581;0,26934;0,05193;0,17222;0,5
205;0,26667;0,58621;0,37037;0,86792;0,08238;0,25597;0,10309;0,14325;0,01771;0,09302;0,03183;0,02346;0,02575;0,00669;1,0;0,00556;0,0
336;0,2;0,68966;0,33333;0,9434;0,05486;0,42082;0,22938;0,30774;0,02683;0,11689;0,09757;0,0353;0,00572;0,02928;0,04451;0,16667;0,5
376;0,23333;0,68966;0,2963;0,57682;0,08219;0,4295;0,01675;0,14071;0,05702;0,29437;0,31072;0,21886;0,05722;0,1154;0,0549;0,28333;0,5
609;0,63333;0,27586;0,2963;0,12129;0,00747;0,32538;0,00387;0,02955;0,07083;0,03856;0,0492;0,40331;0,16738;0,34877;0,04125;0,13889;0,5
683;0,46667;0,27586;0,48148;0,61456;0,03754;0,29718;0,01675;0,07413;0,17588;0,12852;0,06784;0,14538;0,36481;0,09137;0,04036;0,17778;0,5
584;0,5;0,48276;0,22222;0,83019;0,04301;0,27332;0,05799;0,07712;0,04731;0,12118;0,17211;0,03459;0,0515;0,02831;0,02878;0,12778;0,5
287;0,63333;0,27586;0,2963;0,38275;0,07636;0,34273;0,0;0,16957;0,21434;0,0869;0,06407;0,32611;0,34621;0,15742;0,06291;0,2;0,5
31;0,43333;0,27586;0,51852;0,94879;0,04775;0,34273;0,23196;0,02225;0,01394;0,07528;0,06721;0,05597;0,03147;0,02526;0,03086;0,21667;0,5
614;0,13333;0,7931;0,2963;0,74663;0,04994;0,30586;0,13273;0,14254;0,01711;0,23133;0,24665;0,07414;0,08441;0,0782;0,04332;0,01111;0,0
34;0,43333;0,51724;0,25926;0,32345;0,00729;0,3102;0,0;0,01054;0,04645;0,0716;0,34611;0,37985;0,05007;0,22277;0,04688;0,43889;0,5
32;0,36667;0,27586;0,59259;0,93261;0,05085;0,46638;0,30026;0,0215;0,01949;0,10098;0,07412;0,09574;0,06152;0,02757;0,0362;0,16667;0,5
502;0,53333;0,44828;0,22222;0,79784;0,04884;0,35358;0,0683;0,0665;0,0477;0,08017;0,11265;0,08636;0,1073;0,10775;0,04332;0,06111;0,5
261;0,1;0,51724;0,62963;0,89218;0,14908;0,2603;0,54124;0,38596;0,02742;0,06426;0,05779;0,03753;0,12303;0,01317;0,02315;0,02778;0,0
312;0,0;0,51724;0,74074;0,8841;0,1766;0,72885;0,6482;0,1005;0,13459;0,40514;0,09192;0,06312;0,03147;0,03549;0,13353;0,54444;0,0
480;0,23333;0,58621;0,40741;0,83827;0,04866;0,32755;0,3518;0,12751;0,04242;0,18972;0,06972;0,01626;0,03147;0,02446;0,02344;0,14444;0,5
659;0,56667;0,34483;0,2963;0,38544;0,12211;0,3731;0,01031;0,17616;0,15712;0,07528;0,11872;0,52589;0,11588;0,1685;0,07745;0,13333;0,5
248;0,03333;0,55172;0,66667;0,93801;0,03882;0,32972;0,54124;0,05407;0,03165;0,14749;0,06805;0,06083;0,12446;0,02789;0,33294;0,05556;0,0
676;0,4;0,41379;0,40741;0,42588;0,06215;0,46638;0,01289;0,20613;0,03363;0,08813;0,15892;0,28438;0,1216;0,07788;0,05519;0,10556;0,5
265;0,1;0,62069;0,51852;0,90296;0,03827;0,23644;0,49356;0,0314;0,01354;0,10588;0,09883;0,04266;0,00715;0,00958;0,01869;0,06111;0,0
232;0,16667;0,55172;0,51852;0,92183;0,03973;0,38612;0,52191;0,0771;0,03984;0,1022;0,11683;0,03961;0,01431;0,00985;0,01869;0,05556;0,0
324;0,5;0,44828;0,25926;0,85445;0,03408;0,1974;0,18557;0,02117;0,06065;0,10282;0,03978;0,04201;0,04149;0,02607;0,1549;0,02778;0,5
512;0,26667;0,72414;0,22222;0,66038;0,05704;0,58568;0,03866;0,06135;0,04519;0,07589;0,72571;0,21837;0,1402;0,14944;0,03027;0,13889;0,5
236;0,2;0,51724;0,51852;0,89218;0,07818;0,38178;0,54124;0,11439;0,06277;0,1224;0,07265;0,02073;0,02289;0,00733;0,10593;0,11667;0,0
744;0,56667;0,27586;0,37037;0,38814;0,06725;0,3167;0,0;0,21011;0,03;0,15116;0,11662;0,1612;0,13004;0,25253;0,03439;0,19444;0,5
515;0,1;0,82759;0,2963;0,46092;0,04502;0,6833;0,02577;0,22148;0,25015;0,16463;0,53853;0,41165;0,1073;0,15613;0,03828;0,30556;0,5
266;0,16667;0,51724;0,55556;0,87871;0,18899;0,39046;0,54124;0,28508;0,04222;0,07956;0,07391;0,01986;0,01144;0,00733;0,02819;0,12222;0,0
55;0,0;0,48276;0,77778;0,88949;0,02861;0,21692;0,31314;0,03727;0,01282;0,07895;0,01256;0,0461;0,08441;0,01413;0,04332;0,0;0,5
733;0,3;0,51724;0,40741;0,85445;0,06761;0,52711;0,2616;0,16918;0,06957;0,25214;0,20603;0,09236;0,0475;0,03011;0,02611;0,05556;0,5
622;0,4;0,34483;0,48148;0,63073;0,06488;0,59219;0,01289;0,10161;0,52243;0,39351;0,17902;0,14282;0,30901;0,03881;0,03472;0,20556;0,5
98;0,13333;0,58621;0,51852;0,90296;0,08183;0,44902;0,29639;0,0;0,02121;0,22583;0,06805;0,08188;0,03004;0,04127;0,18961;0,14444;0,0
501;0,5;0,37931;0,33333;0,40431;0,03791;0,31236;0,05541;0,09904;0,08484;0,07528;0,16604;0,52779;0,07868;0,19783;0,06113;0,21667;0,5
293;0,53333;0,17241;0,51852;0,44474;0,14325;0,15184;0,0;0,11474;0,16432;0,13709;0,05611;0,14398;0,08313;0,06595;0,04408;0,3;0,5
698;0,23333;0,68966;0,2963;0,14555;0,01276;0,39046;0,0232;0,20355;0,06601;0,15055;0,38819;0,31799;0,16023;0,15174;0,04006;0,18333;0,5
747;0,2;0,72414;0,2963;0,84367;0,03663;0,40781;0,1933;0,03943;0,03317;0,20257;0,09422;0,06644;0,01288;0,03552;0,02736;0,03889;0,5
267;0,26667;0,55172;0,40741;0,8248;0,08475;0,58568;0,09665;0,13997;0,38857;0,53121;0,09485;0,05581;0,41631;0,01697;0,13086;0,4;0,5
384;0,16667;0,89655;0,14815;0,85714;0,05176;0,34707;0,17139;0,00141;0,01731;0,1481;0,14657;0,09852;0,07725;0,05363;0,05223;0,23889;0,5
121;0,73333;0,06897;0,40741;0,67655;0,11172;0,40347;0,0;0,10966;0,03039;0,03672;0,01926;0,05024;0,05436;0,02173;0,00742;0,13333;0,0
435;0,3;0,65517;0,25926;0,80863;0,04429;0,28633;0,09407;0,04533;0,02729;0,13586;0,09255;0,06852;0,02146;0,03656;0,01869;0,06111;0,0
85;0,43333;0,34483;0,44444;0,97035;0,03208;0,1128;0,13273;0,0303;0,02491;0,05814;0,18802;0,04653;0,13448;0,02253;0,02255;0,0;0,5
11;0,32667;0,66897;0,21481;0,81186;0,05668;0,51364;0,08956;0,05415;0,02983;0,21053;0,21461;0,22241;0,02861;0,04218;0,03217;0,17778;0,5
446;0,26667;0,68966;0,25926;0,77628;0,05231;0,27332;0,07088;0,09065;0,04341;0,15422;0,15934;0,06044;0,03433;0,06059;0,04392;0,12778;0,0
658;0,3;0,75862;0,14815;0,74394;0,06069;0,41866;0,22938;0,15532;0,05107;0,25949;0,14719;0,07545;0,04578;0,03233;0,02611;0,13333;0,5
469;0,36667;0,41379;0,44444;0,85445;0,02151;0,39262;0,48969;0,02698;0,01916;0,07038;0,1072;0,05013;0,02003;0,02029;0,01751;0,21111;0,5
330;0,56667;0,34483;0,2963;0,34232;0,01476;0,12148;0,0;0,00985;0,20007;0,11444;0,11411;0,3949;0,08727;0,11133;0,15549;0,33333;0,5
577;0,53333;0,48276;0,18519;0,83827;0,04447;0,29935;0,06186;0,08766;0,04123;0,13831;0,18279;0,02777;0,01288;0,02409;0,02671;0,13333;0,5
30;0,26667;0,37931;0,59259;0,83827;0,08566;0,37527;0,44459;0,00249;0,0146;0,20991;0,15389;0,07665;0,05722;0,02548;0,02938;0,22778;0,5
466;0,33333;0,62069;0,25926;0,82749;0,04301;0,21041;0,13531;0,02739;0,01863;0,18605;0,08794;0,06486;0,02861;0,03624;0,01958;0,07778;0,5
558;0,6;0,10345;0,51852;0,90027;0,07946;0,36659;0,44201;0,1999;0,07704;0,05569;0,01675;0,03622;0,05866;0,01295;0,01721;0,21111;0,5
66;0,33333;0,34483;0,55556;0,46361;0,0483;0,31236;0,0;0,02632;0,02431;0,05386;0,09255;0,35934;0,11016;0,19296;0,05163;0,11667;0,5
235;0,33333;0,51724;0,37037;0,90836;0,04483;0,31887;0,54124;0,02739;0,10228;0,20747;0,10657;0,03922;0,01717;0,01151;0,04481;0,10556;0,5
626;0,26667;0,65517;0,2963;0,04852;0,00128;0,3167;0,01031;0,04308;0,07109;0,17319;0,29334;0,3978;0,05293;0,22052;0,03591;0,41667;0,5
332;0,56667;0,31034;0,33333;0,89757;0,05777;0,36443;0,06186;0,04456;0,09746;0,17503;0,06972;0,09885;0,05293;0,04287;0,11602;0,4;0,5
82;0,4;0,44828;0,37037;0,71429;0,06178;0,20607;0,04897;0,03179;0,05273;0,08446;0,34066;0,20866;0,12017;0,09795;0,04036;0,06667;0,5
482;0,23333;0,62069;0,37037;0,81132;0,05868;0,27332;0,2384;0,04782;0,04579;0,17687;0,06658;0,07921;0,02003;0,06209;0,02404;0,13333;0,0
618;0,3;0,65517;0,25926;0,51482;0,04738;0,3449;0,01675;0,05006;0,08887;0,18849;0,28894;0,17364;0,04292;0,12396;0,04421;0,05;0,5
484;0,26667;0,65517;0,2963;0,78706;0,05613;0,34707;0,11598;0,05006;0,04942;0,21726;0,07517;0,1019;0,02861;0,07402;0,03205;0,14444;0,0
628;0,2;0,72414;0,2963;0,07547;0,01112;0,51193;0,01675;0,07637;0,04903;0,16218;0,28685;0,36103;0,05436;0,20088;0,03976;0,30556;0,5
197;0,5;0,55172;0,14815;0,79515;0,02278;0,2885;0,09021;0,03836;0,0298;0,09302;0,57517;0,11205;0,0186;0,02195;0,01098;0,18333;0,5
533;0,36667;0,58621;0,25926;0,36388;0,13158;0,49241;0,03608;0,19044;0,13915;0,02999;0,17483;0,33086;0,04721;0,19547;0,03828;0,19444;0,5
738;0,63333;0,10345;0,48148;0,29111;0,01367;0,38829;0,0;0,0533;0,03759;0,08262;0,1026;0,40925;0,15565;0,12471;0,05083;0,15;0,5
77;0,3;0,75862;0,14815;0,97844;0,04538;0,24078;0,13918;0,01204;0,01242;0,14565;0,3817;0,08827;0,06867;0,07483;0,0457;0,08333;0,0
260;0,16667;0,58621;0,48148;0,88949;0,07509;0,44685;0,34794;0,15752;0,03277;0,09731;0,09276;0,07757;0,13019;0,03404;0,03086;0,1;0,5
686;0,4;0,31034;0,51852;0,36388;0,039;0,3449;0,0232;0,15017;0,05497;0,08323;0,11474;0,2552;0,09585;0,10849;0,05727;0,16111;0,5
303;0,3;0,44828;0,48148;0,84906;0,05686;0,59002;0,39304;0,07819;0,08457;0,22766;0,09506;0,03681;0,06278;0,01881;0,22004;0,09444;0,5
73;0,86667;0,27586;0,03704;0,77628;0,06616;0,13232;0,0;0,05886;0,02128;0,05141;0,20059;0,05657;0,10443;0,07772;0,05252;0,01111;0,0
740;0,16667;0,72414;0,33333;0,80593;0,10024;0,50759;0,28351;0,37573;0,08563;0,18605;0,06072;0,04975;0,12361;0,02353;0,05;0,02778;0,5
451;0,3;0,51724;0,40741;0,89218;0,02333;0,0;0,33247;0,02333;0,00093;0,12974;0,15766;0,05586;0,0;0,01258;0,03116;0,12222;0,0
651;0,36667;0,51724;0,33333;0,10782;0,03718;0,40347;0,0232;0,19044;0,05088;0,0716;0,19933;0,52681;0,12446;0,21694;0,04629;0,28333;0,5
631;0,33333;0,55172;0,33333;0,04582;0,00802;0,40347;0,01289;0,04641;0,08682;0,11506;0,20582;0,31597;0,0515;;0,02819;0,24444;0,5
64;0,63333;0,2069;0,37037;0,37736;0,00529;0,25597;0,0;0,0259;0,0477;0,02999;0,0402;0,44531;0,103;0,17685;0,03739;0,62222;0,5
255;0,2;0,55172;0,48148;0,8221;0,11008;0,46421;0,41881;0,03763;0,04156;0,19278;0,07873;0,07905;0,11302;0,09356;0,03561;0,1;0,5
670;0,63333;0,34483;0,22222;0,07278;0,00346;0,35792;0,01289;0,06542;0,06627;0,07222;0,10071;0,29884;0,07153;0,27817;0,02433;0,29444;0,5
301;0,13333;0,51724;0,59259;0,8221;0,06707;0,70065;0,54124;0,10524;0,05788;0,05875;0,04585;0,03764;0,02657;0,01312;0,02898;0,14444;0,0
210;0,33333;0,51724;0,37037;0,86792;0,04192;0,33623;0,24871;0,0643;0,0479;0,1481;0,0335;0,02749;0,06867;0,01097;0,01869;0,01667;0,0
762;0,13333;0,51724;0,59259;0,79784;0,50082;0,61388;0,31572;1,0;0,22478;0,57283;0,11453;0,08794;0,29599;0,02275;0,10976;0,64444;0,5
522;0,33333;0,68966;0,18519;0,74124;0,05067;0,50542;0,15464;0,09862;0,04096;0,3366;0,23513;0,12132;0,06295;0,07831;0,02315;0,19444;0,5
707;0,46667;0,48276;0,25926;0,85175;0,10297;0,60521;0,16753;0,19475;0,52038;0,90453;0,31512;0,00884;0,41059;0,00733;0,04065;0,38889;1,0
276;0,16667;0,82759;0,22222;0,8814;0,03408;0,30803;0,24227;0,06576;0,02299;0,19217;0,14636;0,07632;0,02146;0,03195;0,02671;0,00556;0,0
200;0,26667;0,58621;0,37037;0,71159;0,06707;0,63557;0,04897;0,13156;0,41553;0,29988;0,12898;0,32055;0,18741;0,03062;0,1638;0,02222;0,5
8;0,28;0,71034;0,22222;0,32507;0,01385;0,2893;0,0;0,03823;0,07285;0,14627;0,20666;0,5039;0,03348;0,11893;0,03656;0,16111;0,5
292;0,53333;0,2069;0,48148;0,58491;0,09878;0,21692;0,0;0,0972;0,33003;0,18911;0,07601;0,18773;0,36643;0,05889;0,08575;0,16667;0,5
102;0,53333;0,37931;0,2963;0,89757;0,04392;0,31887;0,4317;0,04599;0,01658;0,0765;0,06575;0,0383;0,11445;0,01531;0,03412;0,06111;0,5
381;0,4;0,51724;0,2963;0,85984;0,03609;0,19957;0,19716;0,00506;0,01354;0,06548;0,05695;0,07212;0,0515;0,04121;0,03442;0,07778;0,5
211;0,16667;0,48276;0,59259;0,89488;0,04994;0,27332;0,43557;0,03652;0,03991;0,14015;0,08752;0,02128;0,17597;0,00578;0,07062;0,03889;0,0
579;0,23333;0,68966;0,2963;0,53908;0,11737;0,40564;0,0451;0,10485;0,12659;0,21665;0,43886;0,22023;0,04006;0,08484;0,06142;0,15556;0,5
3;0,3;0,51724;0,40741;0,65526;0,0986;0,30317;0,00515;0,12228;0,11863;0,09302;0,24183;0,30882;0,42346;0,08361;0,04837;0,2;0,5
378;0,23333;0,75862;0,22222;0,81941;0,08693;0,36659;0,13273;0,065;0,03713;0,11138;0,05967;0,09912;0,05007;0,06236;0,05074;0,12222;0,5
396;0,56667;0,37931;0,25926;0,42318;0,05832;0,25163;0,01031;0,14287;0,17714;0,11016;0,15348;0,21434;0,04578;0,16882;0,04748;0,18889;0,5
307;0,33333;0,55172;0,33333;0,90836;0,03645;0,38612;0,33247;0,02117;0,08847;0,21848;0,11977;0,0;0,04435;0,00075;0,07507;0,21111;0,5
520;0,46667;0,41379;0,33333;0,84367;0,07345;0,50759;0,21005;0,25726;0,04975;0,1224;0,04125;0,03164;0,08441;0,05909;0,02878;0,22778;0,5
418;0,2;0,7931;0,22222;0,80593;0,04629;0,41215;0,07088;0,08152;0,01929;0,13158;0,05946;0,06584;0,01431;0,0425;0,01988;0,05;0,5
727;0,86667;0,10345;0,22222;0,87871;0,11864;0,21475;0,05799;0,26133;0,04083;0,06487;0,03518;0,02124;0,08469;0,0237;0,0089;0,03333;0,5
672;0,43333;0,27586;0,51852;0,61186;0,11445;0,30152;0,04124;0,06799;0,16108;0,06793;0,13945;0,16229;0,10443;0,03559;0,04006;0,23889;0,5
447;0,73333;0,27586;0,18519;0,07817;0,00729;0,27332;0,0;0,09464;0,13228;0,05569;0,06135;0,50799;0,0515;0,19001;0,03709;0,34444;0,5
214;0,56667;0,44828;0,18519;0,95148;0,05777;0,21475;0,10954;0,11512;0,02128;0,09547;0,02785;0,03617;0,02432;0,01333;0,01573;0,1;0,5
424;0,5;0,37931;0,33333;0,86792;0,04666;0,26681;0,27448;0,09937;0,01909;0,0563;0,04753;0,06099;0,04435;0,03693;0,01721;0,08333;0,5
251;0,26667;0,44828;0,51852;0,92992;0,03973;0,32104;0,28351;0,03616;0,00383;0,09425;0,07328;0,06334;0,07296;0,02944;0,01929;0,06111;0,0
352;0,23333;0,31034;0,7037;0,98922;0,02424;0,30586;0,21263;0,15971;0,02055;0,06426;0,01549;0,03655;0,0186;0,04143;0,1276;0,08889;0,0
80;0,5;0,27586;0,44444;0,95148;0,03317;0,13883;0,18686;0,02739;0,01169;0,07038;0,07936;0,06039;0,05579;0,03613;0,02344;0,0;0,5
149;0,43333;0,24138;0,55556;0,9434;0,04884;0,35141;0,3866;0,04782;0,05563;0,08752;0,07705;0,0509;0,02146;0,00209;0,01869;0,18889;0,0
334;0,2;0,62069;0,40741;0,89488;0,05212;0,82213;0,18041;0,09427;0,47578;0,54774;0,10909;0,03737;0,15165;0,03688;0,08131;0,48889;0,5
169;0,33333;0,68966;0,18519;0,36658;0,0164;0,51627;0,0;0,03869;0,14866;0,09058;0,27869;0,40472;0,07868;0,17845;0,09585;0,58889;0,5
697;0,16667;0,82759;0,22222;0,07547;0,00747;0,30803;0,0232;0,05039;0,08048;0,17625;0,37521;0,32999;0,08727;0,25724;0,04184;0,4;0,5
640;0,53333;0,2069;0,48148;0,20485;0,0277;0,18872;0,00644;0,13847;0,06482;0,02448;0,05067;0,4164;0,07439;0,12284;0,07092;0,25556;0,0
134;0,5;0,27586;0,44444;0,90566;0,11208;0,67896;0,19072;0,29304;0,52587;0,4896;0,14908;0,08548;0,40629;0,03624;0,03769;0,31667;1,0
356;0,63333;0,24138;0,33333;0,95418;0,03171;0,20607;0,10696;0,17907;0,03541;0,0869;0,08417;0,03791;0,08011;0,02382;0,02018;0,19444;0,5
56;0,26667;0,41379;0,55556;0,9434;0,04957;0,32972;0,22294;0,07305;0,01401;0,08752;0,01193;0,02673;0,09156;0,02687;0,03769;0,01111;0,5
